"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-12-23","3,045.87","3,038.84","3,061.87","3,031.54","19.20B","-0.28%"
"2022-12-22","3,054.43","3,085.80","3,096.24","3,044.60","22.36B","-0.46%"
"2022-12-21","3,068.41","3,078.33","3,085.80","3,060.55","18.91B","-0.17%"
"2022-12-20","3,073.77","3,098.95","3,100.75","3,061.51","21.88B","-1.07%"
"2022-12-19","3,107.11","3,165.31","3,170.26","3,096.10","27.85B","-1.92%"
"2022-12-16","3,167.86","3,156.14","3,175.35","3,151.61","25.98B","-0.02%"
"2022-12-15","3,168.65","3,177.20","3,179.10","3,158.45","24.30B","-0.25%"
"2022-12-14","3,176.53","3,178.55","3,189.83","3,168.59","26.56B","0.01%"
"2022-12-13","3,176.33","3,179.44","3,187.20","3,171.48","28.58B","-0.09%"
"2022-12-12","3,179.04","3,195.87","3,196.72","3,176.58","33.34B","-0.87%"
"2022-12-9","3,206.95","3,197.12","3,212.11","3,182.91","373.34K","0.30%"
"2022-12-8","3,197.35","3,196.02","3,206.72","3,187.26","32.10B","-0.07%"
"2022-12-7","3,199.62","3,204.94","3,226.08","3,188.67","35.41B","-0.40%"
"2022-12-6","3,212.53","3,200.27","3,224.82","3,195.08","37.36B","0.02%"
"2022-12-5","3,211.81","3,181.92","3,213.44","3,177.06","44.74B","1.76%"
"2022-12-2","3,156.14","3,160.58","3,170.90","3,149.84","30.78B","-0.29%"
"2022-12-1","3,165.47","3,187.99","3,198.41","3,164.53","38.70B","0.45%"
"2022-11-30","3,151.34","3,141.40","3,158.57","3,137.37","37.27B","0.05%"
"2022-11-29","3,149.75","3,096.11","3,152.00","3,096.11","39.15B","2.31%"
"2022-11-28","3,078.55","3,055.29","3,080.18","3,034.70","30.58B","-0.75%"
"2022-11-25","3,101.69","3,085.46","3,111.42","3,077.97","31.14B","0.40%"
"2022-11-24","3,089.31","3,104.10","3,113.24","3,084.86","26.75B","-0.25%"
"2022-11-23","3,096.91","3,084.74","3,108.24","3,075.32","32.62B","0.26%"
"2022-11-22","3,088.94","3,084.23","3,118.12","3,076.32","32.76B","0.13%"
"2022-11-21","3,085.04","3,078.06","3,085.24","3,056.17","25.60B","-0.39%"
"2022-11-18","3,097.24","3,116.73","3,126.71","3,096.89","30.00B","-0.58%"
"2022-11-17","3,115.43","3,110.96","3,115.44","3,087.17","28.70B","-0.15%"
"2022-11-16","3,119.98","3,133.65","3,145.75","3,115.35","30.34B","-0.45%"
"2022-11-15","3,134.08","3,081.14","3,135.59","3,074.50","33.15B","1.64%"
"2022-11-14","3,083.40","3,100.87","3,121.41","3,075.22","36.18B","-0.13%"
"2022-11-11","3,087.29","3,099.65","3,117.74","3,070.30","40.96B","1.69%"
"2022-11-10","3,036.13","3,031.69","3,047.98","3,022.85","27.04B","-0.39%"
"2022-11-9","3,048.17","3,064.46","3,073.92","3,046.19","23.56B","-0.53%"
"2022-11-8","3,064.49","3,077.31","3,078.28","3,047.46","25.65B","-0.43%"
"2022-11-7","3,077.82","3,062.86","3,088.19","3,054.46","32.06B","0.23%"
"2022-11-4","3,070.80","2,997.00","3,081.59","2,997.00","32.98B","2.43%"
"2022-11-3","2,997.81","2,981.20","3,003.72","2,977.72","25.93B","-0.19%"
"2022-11-2","3,003.37","2,960.65","3,019.05","2,954.95","32.51B","1.15%"
"2022-11-1","2,969.20","2,899.50","2,969.20","2,896.76","31.98B","2.62%"
"2022-10-31","2,893.48","2,893.20","2,926.01","2,885.09","30.20B","-0.77%"
"2022-10-28","2,915.93","2,967.02","2,974.24","2,908.98","29.25B","-2.25%"
"2022-10-27","2,982.90","3,005.04","3,017.26","2,981.69","26.56B","-0.55%"
"2022-10-26","2,999.50","2,977.56","3,028.35","2,977.56","26.87B","0.78%"
"2022-10-25","2,976.28","2,969.16","3,001.72","2,944.26","25.56B","-0.04%"
"2022-10-24","2,977.56","3,034.75","3,064.42","2,965.17","29.81B","-2.02%"
"2022-10-21","3,038.93","3,038.04","3,055.42","3,026.96","24.53B","0.13%"
"2022-10-20","3,035.05","3,029.30","3,070.26","3,013.69","24.47B","-0.31%"
"2022-10-19","3,044.38","3,073.26","3,081.39","3,044.38","23.09B","-1.19%"
"2022-10-18","3,080.96","3,094.93","3,099.92","3,074.22","24.56B","-0.13%"
"2022-10-17","3,084.94","3,060.52","3,087.19","3,052.71","26.26B","0.42%"
"2022-10-14","3,071.99","3,035.03","3,084.27","3,035.03","27.73B","1.84%"
"2022-10-13","3,016.36","3,008.30","3,036.25","3,004.50","24.97B","-0.30%"
"2022-10-12","3,025.51","2,976.72","3,025.51","2,934.09","24.80B","1.53%"
"2022-10-11","2,979.79","2,978.06","2,986.91","2,953.50","20.86B","0.19%"
"2022-10-10","2,974.15","3,026.94","3,029.45","2,968.28","24.34B","-1.66%"
"2022-9-30","3,024.39","3,042.17","3,054.61","3,021.93","20.41B","-0.55%"
"2022-9-29","3,041.20","3,067.47","3,076.76","3,026.08","23.00B","-0.13%"
"2022-9-28","3,045.07","3,089.10","3,089.10","3,044.86","23.01B","-1.58%"
