"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022-12-23","1,020.34","1,022.61","1,027.34","1,013.20","544.11K","-0.22%"
"2022-12-22","1,022.61","1,018.88","1,033.18","1,016.54","714.22K","0.37%"
"2022-12-21","1,018.88","1,033.34","1,033.84","1,005.43","857.33K","-0.42%"
"2022-12-20","1,023.13","1,038.40","1,038.74","1,010.08","1.08M","-1.47%"
"2022-12-19","1,038.40","1,052.48","1,065.59","1,038.40","988.84K","-1.34%"
"2022-12-16","1,052.48","1,055.32","1,064.79","1,047.16","881.53K","-0.27%"
"2022-12-15","1,055.32","1,049.16","1,062.61","1,049.06","731.12K","0.47%"
"2022-12-14","1,050.43","1,047.45","1,062.18","1,046.43","792.04K","0.28%"
"2022-12-13","1,047.45","1,032.07","1,047.45","1,026.30","798.74K","1.49%"
"2022-12-12","1,032.07","1,051.81","1,065.16","1,032.07","909.57K","-1.88%"
"2022-12-9","1,051.81","1,050.53","1,061.21","1,041.39","788.20K","0.12%"
"2022-12-8","1,050.53","1,041.02","1,078.09","1,041.02","916.99K","0.91%"
"2022-12-7","1,041.02","1,048.69","1,059.79","1,034.92","920.94K","-0.73%"
"2022-12-6","1,048.69","1,093.67","1,093.67","1,048.69","1.48M","-4.11%"
"2022-12-5","1,093.67","1,080.01","1,099.45","1,080.01","1.26M","1.26%"
"2022-12-2","1,080.01","1,036.28","1,080.01","1,030.81","1.09M","4.22%"
"2022-12-1","1,036.28","1,048.42","1,066.28","1,035.62","1.34M","-1.16%"
"2022-11-30","1,048.42","1,032.16","1,048.42","1,021.54","1.14M","1.58%"
"2022-11-29","1,032.16","1,005.69","1,032.16","998.56","1.18M","2.63%"
"2022-11-28","1,005.69","971.46","1,006.22","971.46","973.79K","3.52%"
"2022-11-25","971.46","947.71","971.46","947.71","622.50K","2.51%"
"2022-11-24","947.71","946.00","950.03","934.31","543.14K","0.18%"
"2022-11-23","946.00","952.12","958.61","942.02","542.12K","-0.64%"
"2022-11-22","952.12","960.65","985.28","948.52","1.05M","-0.89%"
"2022-11-21","960.65","969.33","973.19","956.77","597.72K","-0.90%"
"2022-11-18","969.33","969.26","971.77","939.73","960.58K","0.01%"
"2022-11-17","969.26","942.90","972.88","942.90","724.46K","2.80%"
"2022-11-16","942.90","911.90","945.42","873.78","1.05M","3.40%"
"2022-11-15","911.90","941.04","941.04","900.17","692.34K","-3.10%"
"2022-11-14","941.04","954.53","954.53","923.53","666.06K","-1.41%"
"2022-11-11","954.53","947.24","966.70","947.24","736.49K","0.77%"
"2022-11-10","947.24","975.97","976.31","935.78","698.76K","-3.89%"
"2022-11-9","985.59","981.65","994.79","977.93","583.06K","0.40%"
"2022-11-8","981.65","975.19","981.86","956.97","660.72K","0.66%"
"2022-11-7","975.19","997.15","997.15","969.61","646.85K","-2.20%"
"2022-11-4","997.15","1,008.23","1,009.96","974.61","753.11K","-2.22%"
"2022-11-3","1,019.81","1,023.19","1,023.95","1,010.65","442.89K","-0.33%"
"2022-11-2","1,023.19","1,033.75","1,034.73","1,018.64","578.23K","-1.02%"
"2022-11-1","1,033.75","1,027.94","1,043.53","1,027.39","613.98K","0.57%"
"2022-10-31","1,027.94","1,028.24","1,030.32","1,005.00","662.04K","0.06%"
"2022-10-28","1,027.36","1,028.01","1,044.57","1,026.53","654.70K","-0.06%"
"2022-10-27","1,028.01","993.36","1,028.01","990.48","647.72K","3.49%"
"2022-10-26","993.36","997.70","1,004.55","984.71","448.28K","-0.44%"
"2022-10-25","997.70","986.15","1,011.39","962.45","751.18K","1.17%"
"2022-10-24","986.15","1,019.82","1,023.51","977.41","654.95K","-3.30%"
"2022-10-21","1,019.82","1,058.45","1,059.09","1,013.69","742.10K","-3.65%"
"2022-10-20","1,058.45","1,056.14","1,065.28","1,048.21","398.33K","-0.15%"
